Thread number, Size, Block size, Epsilon, Iteration number, Time, Boost, Maximal error, Average error
12, 1000, 16, 0.100000, 8527,  5.3625,    3.92, 1495.90,  480.00
12, 1000, 16, 0.010000, 54281, 34.8747,    3.87,  629.86,  235.96
12, 1000, 64, 0.100000, 8527,  6.6110,    3.78, 1495.90,  480.00
12, 1000, 64, 0.010000, 54281, 42.0470,    3.85,  629.86,  235.96
12, 1000, 128, 0.100000, 8527, 10.6550,    2.44, 1495.90,  480.00
12, 1000, 128, 0.010000, 54281, 65.8678,    2.52,  629.86,  235.96
12, 1000, 256, 0.100000, 8527, 15.8393,    1.64, 1495.90,  480.00
12, 1000, 256, 0.010000, 54281, 111.2109,    1.52,  629.86,  235.96
12, 2000, 16, 0.100000, 9617, 27.6321,    4.09, 2018.81,  592.27
12, 2000, 16, 0.010000, 74244, 221.3872,    3.94, 1123.22,  387.42
12, 2000, 64, 0.100000, 9617, 30.0767,    4.32, 2018.81,  592.27
12, 2000, 64, 0.010000, 74244, 231.2511,    4.19, 1123.22,  387.42
12, 2000, 128, 0.100000, 9617, 36.5457,    3.53, 2018.81,  592.27
12, 2000, 128, 0.010000, 74244, 279.8594,    3.59, 1123.22,  387.42
12, 2000, 256, 0.100000, 9617, 50.8557,    2.52, 2018.81,  592.27
12, 2000, 256, 0.010000, 74244, 357.8373,    2.78, 1123.22,  387.42
